id,sex,year,week,date,sample_county,north,east,survey_county,m_north,m_east
BI000025,Hane,2012,37,2012-09-12,Värmlands län,6754226,379694,Dalarnas län,6765270.75,386513.25
BI400238,Hane,2012,39,2012-09-28,Värmlands län,6755165,378706,Dalarnas län,6782282.285714285,393228.85714285716
BI080034,Hona,2012,32,2012-08-08,Dalarnas län,6872639,394187,Dalarnas län,6872639,394187
BI080045,Hona,2012,35,2012-08-31,Dalarnas län,6751287,521805,Dalarnas län,6751287,521805
BI080048,Hona,2012,40,2012-10-05,Dalarnas län,6782174,439516,Dalarnas län,6759107.636363637,433822
BI080190,Hona,2012,40,2012-10-07,Dalarnas län,6743187,483150,Dalarnas län,6743187,483150
BI400238,Hane,2012,36,2012-09-06,Dalarnas län,6826630,389926,Dalarnas län,6782282.285714285,393228.85714285716
BI080326,Hane,2012,42,2012-10-21,Gävleborgs län,6826718,520215,Gävleborgs län,6840393.285714285,512890.5714285714
BI080021,Hona,2012,42,2012-10-20,Dalarnas län,6724256,440790,Dalarnas län,6733391.947368421,443864.5263157895
BI080039,Hona,2012,35,2012-08-30,Dalarnas län,6802179,490850,Dalarnas län,6802819.5,491702.5
BI080052,Hane,2012,35,2012-08-28,Dalarnas län,6747092,480188,Dalarnas län,6751125.5,472511.875
BI080169,Hane,2012,34,2012-08-25,Dalarnas län,6732746,563984,Dalarnas län,6731149.666666667,566388.3333333334
BI080159,Hona,2012,34,2012-08-23,Dalarnas län,6739004,457615,Dalarnas län,6739826.5,457718
BI080191,Hona,2012,34,2012-08-25,Dalarnas län,6764581,485575,Dalarnas län,6764581,485575
BI080025,Hane,2012,35,2012-09-01,Dalarnas län,6795753,460429,Dalarnas län,6763177.142857143,487540.14285714284
BI080057,Hane,2012,38,2012-09-20,Dalarnas län,6666185,472991,Dalarnas län,6684449.666666667,483976.3333333333
BI080066,Hane,2012,37,2012-09-15,Dalarnas län,6724550,458552,Dalarnas län,6724958,455770
BI080155,Hane,2012,38,2012-09-21,Dalarnas län,6661537,478395,Dalarnas län,6664942.5,471548.5
BI000020,Hane,2012,35,2012-08-29,Dalarnas län,6834789,384927,Dalarnas län,6831936.25,386493.75
BI080044,Hane,2012,34,2012-08-25,Dalarnas län,6747517,511865,Dalarnas län,6747074,512396
BI080046,Hona,2012,34,2012-08-24,Dalarnas län,6756684,530825,Dalarnas län,6754227,521502
BI050240,Hona,2012,35,2012-08-31,Dalarnas län,6855205,374014,Dalarnas län,6860814.8,371247.8
BI080042,Hane,2012,35,2012-08-31,Dalarnas län,6751268,521855,Dalarnas län,6751268,521855
BI080027,Hona,2012,34,2012-08-21,Dalarnas län,6760662,496344,Dalarnas län,6758503.666666667,500060.55555555556
BI080048,Hona,2012,36,2012-09-03,Dalarnas län,6747905,439348,Dalarnas län,6759107.636363637,433822
BI080049,Hane,2012,35,2012-09-02,Dalarnas län,6716061,469397,Dalarnas län,6716718.363636363,476865.45454545453
BI080050,Hane,2012,35,2012-09-01,Dalarnas län,6779240,448381,Dalarnas län,6768284,448926
BI080047,Hane,2012,35,2012-08-31,Dalarnas län,6751252,522166,Dalarnas län,6751252,522166
BI080052,Hane,2012,35,2012-09-01,Dalarnas län,6756078,470321,Dalarnas län,6751125.5,472511.875
BI080075,Hane,2012,35,2012-09-02,Dalarnas län,6720647,506677,Dalarnas län,6717643.285714285,509990.78571428574
BI080055,Hona,2012,36,2012-09-03,Dalarnas län,6866259,396679,Dalarnas län,6863607.545454546,391607.45454545453
BI080056,Hona,2012,36,2012-09-05,Dalarnas län,6793028,452225,Dalarnas län,6795269.5,442989.5
BI080060,Hona,2012,36,2012-09-04,Dalarnas län,6865000,381420,Dalarnas län,6871479.5,381590
BI080057,Hane,2012,36,2012-09-03,Dalarnas län,6690626,503008,Dalarnas län,6684449.666666667,483976.3333333333
BI080049,Hane,2012,36,2012-09-04,Dalarnas län,6713240,472316,Dalarnas län,6716718.363636363,476865.45454545453
BI400234,Hane,2012,36,2012-09-03,Dalarnas län,6824790,389650,Dalarnas län,6824790,389650
BI080016,Hona,2012,36,2012-09-04,Dalarnas län,6866047,381625,Dalarnas län,6871298.8,386247.8
BI080049,Hane,2012,36,2012-09-04,Dalarnas län,6712728,471233,Dalarnas län,6716718.363636363,476865.45454545453
BI080030,Hona,2012,36,2012-09-04,Dalarnas län,6738280,539238,Dalarnas län,6763681,407190.9
BI080028,Hona,2012,34,2012-08-21,Dalarnas län,6840421,419097,Dalarnas län,6836811.25,414274.5
BI080058,Hane,2012,36,2012-09-04,Dalarnas län,6737904,539382,Dalarnas län,6742955,537710.5
BI040643,Hona,2012,36,2012-09-03,Dalarnas län,6865559,397070,Dalarnas län,6861991.25,398747
BI060038,Hane,2012,36,2012-09-04,Dalarnas län,6870158,380892,Dalarnas län,6859065.333333333,388236.6666666667
BI080030,Hona,2012,36,2012-09-06,Dalarnas län,6759440,399000,Dalarnas län,6763681,407190.9
BI080060,Hona,2012,36,2012-09-05,Dalarnas län,6877959,381760,Dalarnas län,6871479.5,381590
BI080061,Hona,2012,36,2012-09-04,Dalarnas län,6881303,393897,Dalarnas län,6881303,393897
BI080062,Hona,2012,36,2012-09-05,Dalarnas län,6881129,393500,Dalarnas län,6880841,394250.5
BI080063,Hona,2012,36,2012-09-06,Dalarnas län,6747156,425362,Dalarnas län,6754085.666666667,421873.6666666667
BI080028,Hona,2012,36,2012-09-06,Dalarnas län,6843259,418834,Dalarnas län,6836811.25,414274.5
BI080064,Hane,2012,36,2012-09-07,Dalarnas län,6780093,451660,Dalarnas län,6780956,446752.6
BI400265,Hane,2012,36,2012-09-04,Dalarnas län,6848620,380918,Dalarnas län,6848620,380918
BI080055,Hona,2012,36,2012-09-04,Dalarnas län,6876339,392484,Dalarnas län,6863607.545454546,391607.45454545453
BI080067,Hane,2012,36,2012-09-05,Dalarnas län,6783327,534849,Dalarnas län,6783440,534554
BI080021,Hona,2012,36,2012-09-07,Dalarnas län,6736178,441084,Dalarnas län,6733391.947368421,443864.5263157895
BI080049,Hane,2012,36,2012-09-06,Dalarnas län,6714256,492980,Dalarnas län,6716718.363636363,476865.45454545453
BI080027,Hona,2012,34,2012-08-22,Dalarnas län,6758680,500377,Dalarnas län,6758503.666666667,500060.55555555556
BI080021,Hona,2012,36,2012-09-06,Dalarnas län,6737578,441227,Dalarnas län,6733391.947368421,443864.5263157895
BI080016,Hona,2012,36,2012-09-04,Dalarnas län,6871806,393827,Dalarnas län,6871298.8,386247.8
BI080025,Hane,2012,36,2012-09-08,Dalarnas län,6762404,482062,Dalarnas län,6763177.142857143,487540.14285714284
BI080067,Hane,2012,36,2012-09-05,Dalarnas län,6783553,534259,Dalarnas län,6783440,534554
BI080021,Hona,2012,36,2012-09-07,Dalarnas län,6743139,444258,Dalarnas län,6733391.947368421,443864.5263157895
BI080021,Hona,2012,36,2012-09-07,Dalarnas län,6743139,444258,Dalarnas län,6733391.947368421,443864.5263157895
BI080068,Hona,2012,36,2012-09-08,Dalarnas län,6796488,498746,Dalarnas län,6794924.4,499206.4
BI080050,Hane,2012,36,2012-09-04,Dalarnas län,6768725,459568,Dalarnas län,6768284,448926
BI080050,Hane,2012,36,2012-09-03,Dalarnas län,6768627,460222,Dalarnas län,6768284,448926
BI080029,Hona,2012,34,2012-08-21,Dalarnas län,6740139,448092,Dalarnas län,6738549.416666667,452759
BI080063,Hona,2012,36,2012-09-07,Dalarnas län,6763466,431050,Dalarnas län,6754085.666666667,421873.6666666667
BI040864,Hona,2012,36,2012-09-06,Dalarnas län,6830580,410951,Dalarnas län,6824918.625,408008.25
BI080063,Hona,2012,36,2012-09-09,Dalarnas län,6749125,418635,Dalarnas län,6754085.666666667,421873.6666666667
BI040864,Hona,2012,36,2012-09-06,Dalarnas län,6828563,411849,Dalarnas län,6824918.625,408008.25
BI080021,Hona,2012,36,2012-09-09,Dalarnas län,6734360,447118,Dalarnas län,6733391.947368421,443864.5263157895
BI080108,Hane,2012,36,2012-09-09,Dalarnas län,6712552,459323,Dalarnas län,6718188.285714285,460749
BI080130,Hona,2012,34,2012-08-21,Dalarnas län,6739067,456833,Dalarnas län,6741163.25,460468.75
BI401072,Hane,2012,35,2012-09-01,Dalarnas län,6832643,420598,Dalarnas län,6832643,420598
BI040646,Hona,2012,36,2012-09-06,Dalarnas län,6857395,396287,Dalarnas län,6859449,390878
BI060019,Hona,2012,36,2012-09-03,Dalarnas län,6870910,354464,Dalarnas län,6868906.5,355385.5
BI080092,Hona,2012,36,2012-09-07,Dalarnas län,6777492,529029,Dalarnas län,6778020,528699
BI080092,Hona,2012,36,2012-09-07,Dalarnas län,6777490,531280,Dalarnas län,6778020,528699
BI080048,Hona,2012,36,2012-09-07,Dalarnas län,6751391,431908,Dalarnas län,6759107.636363637,433822
BI080121,Hane,2012,36,2012-09-09,Dalarnas län,6766292,437312,Dalarnas län,6767497.25,442249.5
BI080063,Hona,2012,36,2012-09-09,Dalarnas län,6746375,425182,Dalarnas län,6754085.666666667,421873.6666666667
BI080055,Hona,2012,36,2012-09-04,Dalarnas län,6858023,396070,Dalarnas län,6863607.545454546,391607.45454545453
BI080122,Hane,2012,36,2012-09-08,Dalarnas län,6756074,434779,Dalarnas län,6761875.75,429238.25
BI080048,Hona,2012,36,2012-09-09,Dalarnas län,6755685,434744,Dalarnas län,6759107.636363637,433822
BI080030,Hona,2012,34,2012-08-20,Dalarnas län,6760007,396281,Dalarnas län,6763681,407190.9
BI000020,Hane,2012,36,2012-09-07,Dalarnas län,6824872,390154,Dalarnas län,6831936.25,386493.75
BI080121,Hane,2012,36,2012-09-03,Dalarnas län,6769262,444411,Dalarnas län,6767497.25,442249.5
BI080123,Hane,2012,36,2012-09-09,Dalarnas län,6763981,464649,Dalarnas län,6764923.75,462754.25
BI080084,Hane,2012,36,2012-09-09,Dalarnas län,6713484,474010,Dalarnas län,6717260.421052632,462826.8947368421
BI080027,Hona,2012,36,2012-09-08,Dalarnas län,6757413,502439,Dalarnas län,6758503.666666667,500060.55555555556
BI080072,Hona,2012,36,2012-09-08,Dalarnas län,6738344,469873,Dalarnas län,6741399.666666667,464624.6666666667
BI400230,Hane,2012,34,2012-08-21,Dalarnas län,6772208,385180,Dalarnas län,6772278.461538462,382164.92307692306
BI080048,Hona,2012,36,2012-09-09,Dalarnas län,6750955,438490,Dalarnas län,6759107.636363637,433822
BI080121,Hane,2012,36,2012-09-05,Dalarnas län,6767294,443681,Dalarnas län,6767497.25,442249.5
BI040864,Hona,2012,36,2012-09-07,Dalarnas län,6819567,406438,Dalarnas län,6824918.625,408008.25
BI080086,Hane,2012,36,2012-09-09,Dalarnas län,6734562,406152,Dalarnas län,6729439.666666667,411448.1666666667
